justice,justiceName,Name,Start,End,
1,JJay,John Jay,1789-10-19,1795-06-29,https://api.oyez.org/sites/default/files/images/people/john_jay/john_jay.thumb.png
2,JRutledge1,John Rutledge,1790-02-15,1791-03-05,https://api.oyez.org/sites/default/files/images/people/john_rutledge/john_rutledge.thumb.png
3,WCushing,William Cushing,1790-02-02,1810-09-13,https://api.oyez.org/sites/default/files/images/people/william_cushing/william_cushing.thumb.png
4,JWilson,James Wilson,1789-10-05,1798-08-21,https://api.oyez.org/sites/default/files/images/people/james_wilson/james_wilson.thumb.png
5,JBlair,"John Blair, Jr.",1790-02-02,1796-01-27,https://api.oyez.org/sites/default/files/images/people/john_blair/john_blair.thumb.png
6,JIredell,James Iredell,1790-05-12,1799-10-20,https://api.oyez.org/sites/default/files/images/people/james_iredell/james_iredell.thumb.png
7,TJohnson,Thomas Johnson,1791-09-19,1793-02-22,https://api.oyez.org/sites/default/files/images/people/thomas_johnson/thomas_johnson.thumb.png
8,WPaterson,William Paterson,1793-03-11,1806-09-09,https://api.oyez.org/sites/default/files/images/people/william_paterson/william_paterson.thumb.png
9,JRutledge2,John Rutledge,1795-08-12,1795-12-15,https://api.oyez.org/sites/default/files/images/people/john_rutledge/john_rutledge.thumb.png
10,SChase,Samuel Chase,1796-02-04,1811-06-19,https://api.oyez.org/sites/default/files/images/people/samuel_chase/samuel_chase.thumb.png
11,OEllsworth,Oliver Ellsworth,1796-03-08,1800-12-15,https://api.oyez.org/sites/default/files/images/people/oliver_ellsworth/oliver_ellsworth.thumb.png
12,BWashington,Bushrod Washington,1798-11-09,1829-11-26,https://api.oyez.org/sites/default/files/images/people/bushrod_washington/bushrod_washington.thumb.png
13,AMoore,Alfred Moore,1800-04-21,1804-01-26,https://api.oyez.org/sites/default/files/images/people/alfred_moore/alfred_moore.thumb.png
14,JMarshall,John Marshall,1801-02-04,1835-07-06,https://api.oyez.org/sites/default/files/images/people/john_marshall/john_marshall.thumb.png
